University,Overall Ranking,Overall Score,Ranking by Individual, Individual Score
CMU,1,100.00,6,62.80
UCI,2,69.38,8,58.29
Stanford,3,58.13,2,83.02
MIT,4,53.35,4,66.03
UIUC,5,52.87,3,75.73
UMCP,6,45.45,7,62.67
NCSU,7,41.86,10,42.20
UCSD,8,39.71,9,57.44
GaTech,9,37.56,5,65.21
UWM,10,36.12,1,100.00
