University,Overall Ranking,Overall Score,Ranking by Individual, Individual Score
CMU,1,100,3,48.22
UCI,2,45.99,8,42.67
GaTech,2,45.99,9,39.66
UW,4,38.68,4,47.37
Stanford,5,37.2,1,100
UMich,6,33.28,10,36.07
UMCP,7,31.01,6,43.18
Cornell,8,30.14,5,44.83
UC Berkeley,9,25.35,2,56.51
PSU,10,21.69,19,43.11
